sickCd,sickNm,sickEngNm
C850,림프육종,Lymphosarcoma
C851,상세불명의 B-세포림프종,"B-cell lymphoma, unspecified"
C852,종격[흉선] 대B-세포림프종,Mediastinal(thymic) large B-cell lymphoma
C857,기타 명시된 유형의 비호지킨림프종,Other specified types of non-Hodgkin lymphoma
C859,상세불명의 비호지킨림프종,"Non-Hodgkin lymphoma, unspecified"
C86,T/NK-세포림프종의 기타 명시된 형태,Other specified types of T/NK-cell lymphoma
C860,"림프절외 NK/T-세포림프종, 비강형태","Extranodal NK/T-cell lymphoma, nasal type"
C861,간비장 T-세포림프종,Hepatosplenic T-cell lymphoma
C862,장병증형태(장) T-세포림프종,Enteropathy-type (intestinal) T-cell lymphoma
C863,피하의 지방층염-유사T-세포림프종,Subcutaneous panniculitis-like T-cell lymphoma
C864,모세포성 NK-세포림프종,Blastic NK-cell lymphoma
C865,혈관면역모세포성 T-세포림프종,Angioimmunoblastic T-cell lymphoma
C866,원발 피부성 CD30-양성 T-세포증식,Primary cutaneous CD30-positive T-cell proliferations
C88,악성 면역증식성 질환,Malignant immunoproliferative diseases
C880,왈덴스트룀 마크로클로불린혈증,Waldenstrom macroglobulinaemia
C881,알파 중쇄 병,Alpha heavy chain disease
C882,기타 중쇄병,Other heavy chain disease
C883,면역증식성 소장질환,Immunoproliferative small intestinal disease
C884,점막 관련 림프모양조직의 림프절외 변연부 B-세포림프종[MALT-lymphoma],Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
C887,기타 악성 면역증식성 질환,Other malignant immunoproliferative diseases
C889,상세불명의 악성 면역증식성 질환,"Malignant immunoproliferative disease, unspecified"
C90,다발골수종 및 악성 형질세포신생물,Multiple myeloma and malignant plasma cell neoplasms
C900,다발골수종,Multiple myeloma
C901,형질세포백혈병,Plasma cell leukaemia
C902,골수외 형질세포종,Extramedullary plasmacytoma
C903,고립성 형질세포종,Solitary plasmacytoma
C91,림프성 백혈병,Lymphoid leukaemia
C910,급성 림프모구성 백혈병 [ALL],Acute lymphoblastic leukaemia [ALL]
C911,B-세포형 만성 림프구성 백혈병,Chronic lymphocytic leukaemia of B-cell type
C912,아급성 림프구성 백혈병,Subacute lymphocytic leukemia
C913,B-세포형의 전림프구성 백혈병,Prolymphocytic leukaemia of B-cell type
C914,털세포백혈병,Hairy-cell leukaemia
C915,성인 T-세포림프종/백혈병(HTLV-1 관련),Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
C916,T-세포형의 전림프구성 백혈병,Prolymphocytic leukaemia of T-cell type
C917,기타 림프성 백혈병,Other lymphoid leukaemia
C918,"성숙 B-세포백혈병, 버킷형",Mature B-cell leukaemia Burkitt-type
C919,상세불명의 림프성 백혈병,"Lymphoid leukaemia, unspecified"
C92,골수성 백혈병,Myeloid leukaemia
C920,급성 골수모구성 백혈병,Acute myeloblastic leukaemia [AML]
C921,"만성 골수성 백혈병, BCR/ABL-양성","Chronic myeloid leukaemia[CML], BCR/ABL-positive"
C922,"비정형적 만성 골수성 백혈병, BCR/ABL 음성","Atypical chronic myeloid leukaemia [CML], BCR/ABL-negative"
C923,골수성 육종,Myeloid sarcoma
C924,급성 전골수구성 백혈병[PML],Acute promyelocytic leukaemia[PML]
C925,급성 골수단핵구성 백혈병,Acute myelomonocytic leukaemia
C926,11q23이상을 동반한 급성 골수모구성 백혈병,Acute myeloid leukaemia with 11q23-abnormality
C927,기타 골수성 백혈병,Other myeloid leukaemia
C928,다세포계 형성이상을 동반한 급성 골수성 백혈병,Acute myeloid leukaemia with multi-lineage dysplasia
C929,상세불명의 골수성 백혈병,"Myeloid leukaemia, unspecified"
C93,단핵구성 백혈병,Monocytic leukaemia
C930,급성 단핵모구성/단핵구성 백혈병,Acute monoblastic/monocytic leukaemia
C931,만성 골수단핵구성 백혈병,Chronic myelomonocytic leukaemia
C932,아급성 단핵구성 백혈병,Subacute monocytic leukemia
C933,연소성 골수단핵구성 백혈병,Juvenile myelomonocytic leukaemia
C937,기타 단핵구성 백혈병,Other monocytic leukaemia
C939,상세불명의 단핵구성 백혈병,"Monocytic leukaemia, unspecified"
C94,명시된 세포형의 기타 백혈병,Other leukaemias of specified cell type
C940,급성 적백혈병,Acute erythroid leukaemia
C941,만성 적혈병,Chronic erythremia
C942,급성 거핵모구성 백혈병,Acute megakaryoblastic leukaemia
C943,비만세포 백혈병,Mast cell leukaemia
C944,골수섬유증을 동반한 급성 범골수증,Acute panmyelosis with myelofibrosis
C945,급성 골수섬유증,Acute myelofibrosis
C946,"골수형성이상성 및 골수증식성 질환, 상세불명","Myelodysplastic and myeloproliferative disease, not classified"
C947,기타 명시된 백혈병,Other specified leukaemias
C95,상세불명 세포형의 백혈병,Leukaemia of unspecified cell type
C950,상세불명 세포형의 급성 백혈병,Acute leukaemia of unspecified cell type
C951,상세불명 세포형의 만성 백혈병,Chronic leukaemia of unspecified cell type
C952,상세불명 세포형의 아급성 백혈병,Subacute leukemia of unspecified cell type
C957,상세불명 세포형의 기타 백혈병,Other leukaemia of unspecified cell type
C959,상세불명의 백혈병,"Leukaemia, unspecified"
C96,"림프, 조혈 및 관련 조직의 기타 및 상세불명의 악성 신생물","Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C960,다초점 및 다계통성(파종성) 랑게르한스세포 조직구증[레테러-시웨병],Multifocal and multisystemic(disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
C961,악성 조직구증,Malignant histiocytosis
C962,악성 비만세포종양,Malignant mast cell tumour
C963,진성 조직구성 림프종,True histiocytic lymphoma
C964,수지상세포의 육종(보조세포),Sarcoma of dendritic cells (accessory cells)
C965,다초점 및 단계통성 랑게르한스세포 조직구증,Multifocal and unisystemic Langerhans-cell histiocytosis
C966,단초점 랑게르한스세포 조직구증,Unifocal Langerhans-cell histiocytosis
C967,"기타 명시된 림프, 조혈 및 관련 조직의 악성 신생물","Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C968,조직구성 육종,Histiocytic sarcoma
C969,"상세불명의 림프, 조혈 및 관련 조직의 악성 신생물","Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
C97,독립된(원발성) 여러 부위의 악성 신생물,Malignant neoplasms of independent (primary) multiple sites
D00,"구강, 식도 및 위의 제자리암종","Carcinoma in situ of oral cavity, oesophagus and stomach"
D000,"입술, 구강 및 인두의 제자리암종","Carcinoma in situ of lip, oral cavity and pharynx"
D001,식도의 제자리암종,Carcinoma in situ of oesophagus
D002,위의 제자리암종,Carcinoma in situ of stomach
D01,기타 및 상세불명의 소화기관의 제자리암종,Carcinoma in situ of other and unspecified digestive organs
D010,결장의 제자리암종,Carcinoma in situ of colon
D011,직장구불결장접합부의 제자리암종,Carcinoma in situ of rectosigmoid junction
D012,직장의 제자리암종,Carcinoma in situ of rectum
D013,항문 및 항문관의 제자리암종,Carcinoma in situ of anus and anal canal
D014,기타 및 상세불명 부분의 장의 제자리암종,Carcinoma in situ of other and unspecified parts of intestine
D015,"간, 담낭 및 담관의 제자리암종","Carcinoma in situ of liver, gallbladder and bile ducts"
D017,기타 명시된 소화기관의 제자리암종,Carcinoma in situ of other specified digestive organs
D019,상세불명의 소화기관의 제자리암종,"Carcinoma in situ of digestive organ, unspecified"
D02,중이 및 호흡계통의 제자리암종,Carcinoma in situ of middle ear and respiratory system
D020,후두의 제자리암종,Carcinoma in situ of larynx
D021,기관의 제자리암종,Carcinoma in situ of trachea
D022,기관지 및 폐의 제자리암종,Carcinoma in situ of bronchus and lung
D023,호흡계통 기타 부분의 제자리암종,Carcinoma in situ of other parts of respiratory system
D024,상세불명의 호흡계통의 제자리암종,"Carcinoma in situ of respiratory system, unspecified"
D03,제자리흑색종,Melanoma in situ
D030,입술의 제자리흑색종,Melanoma in situ of lip
D031,안각을 포함한 눈꺼풀의 제자리흑색종,"Melanoma in situ of eyelid, including canthus"
D032,귀 및 외이도의 제자리흑색종,Melanoma in situ of ear and external auricular canal
D033,얼굴의 기타 및 상세불명 부분의 제자리흑색종,Melanoma in situ of other and unspecified parts of face
D034,두피 및 목의 제자리흑색종,Melanoma in situ of scalp and neck
D035,몸통의 제자리흑색종,Melanoma in situ of trunk
D036,어깨를 포함한 팔의 제자리흑색종,"Melanoma in situ of upper limb, including shoulder"
D037,엉덩이를 포함한 다리의 제자리흑색종,"Melanoma in situ of lower limb, including hip"
D038,기타 부위의 제자리흑색종,Melanoma in situ of other sites
D039,상세불명의 제자리흑색종,"Melanoma in situ, unspecified"
D04,피부의 제자리암종,Carcinoma in situ of skin
D040,입술의 피부의 제자리암종,Carcinoma in situ of skin of lip
D041,안각을 포함한 눈꺼풀의 피부의 제자리암종,"Carcinoma in situ of skin of eyelid, including canthus"
D042,귀 및 외이도의 피부의 제자리암종,Carcinoma in situ of skin of ear and external auricular canal
D043,얼굴의 기타 및 상세불명 부분의 피부의 제자리암종,Carcinoma in situ of skin of other and unspecified parts of face
D044,두피 및 목 피부의 제자리암종,Carcinoma in situ of skin of scalp and neck
D045,몸통의 피부의 제자리암종,Carcinoma in situ of skin of trunk
D046,어깨를 포함한 팔의 피부의 제자리암종,"Carcinoma in situ of skin of upper limb, including shoulder"
D047,엉덩이를 포함한 다리의 피부의 제자리암종,"Carcinoma in situ of skin of lower limb, including hip"
D048,기타 부위의 피부의 제자리암종,Carcinoma in situ of skin of other sites
D049,상세불명의 피부의 제자리암종,"Carcinoma in situ of skin, unspecified"
D05,유방의 제자리암종,Carcinoma in situ of breast
D050,유방의 소엽 제자리암종,Lobular carcinoma in situ of breast
D051,유방의 관내 제자리암종,Intraductal carcinoma in situ of breast
D057,기타 유방의 제자리암종,Other carcinoma in situ of breast
D059,상세불명의 유방의 제자리암종,"Carcinoma in situ of breast, unspecified"
D06,자궁경부의 제자리암종,Carcinoma in situ of cervix uteri
D060,자궁경부내막의 제자리암종,Carcinoma in situ of endocervix
D061,외자궁경부의 제자리암종,Carcinoma in situ of exocervix
D067,자궁경부의 기타 부분의 제자리암종,Carcinoma in situ of other parts of cervix
D069,상세불명의 자궁경부의 제자리암종,"Carcinoma in situ of cervix, unspecified"
D07,기타 및 상세불명의 생식기관의 제자리암종,Carcinoma in situ of other and unspecified genital organs
D070,자궁내막의 제자리암종,Carcinoma in situ of endometrium
D071,외음의 제자리암종,Carcinoma in situ of vulva
D072,질의 제자리암종,Carcinoma in situ of vagina
D073,기타 및 상세불명의 여성생식기관의 제자리암종,Carcinoma in situ of other and unspecified female genital organs
D074,음경의 제자리암종,Carcinoma in situ of penis
D075,전립선의 제자리암종,Carcinoma in situ of prostate
D076,기타 및 상세불명의 남성생식기관의 제자리암종,Carcinoma in situ of other and unspecified male genital organs
D09,기타 및 상세불명 부위의 제자리암종,Carcinoma in situ of other and unspecified sites
D090,방광의 제자리암종,Carcinoma in situ of bladder
D091,기타 및 상세불명의 비뇨기관의 제자리암종,Carcinoma in situ of other and unspecified urinary organs
D092,눈의 제자리암종,Carcinoma in situ of eye
D093,갑상선 및 기타 내분비선의 제자리암종,Carcinoma in situ of thyroid and other endocrine glands
D097,기타 명시된 부위의 제자리암종,Carcinoma in situ of other specified sites
D099,상세불명의 제자리암종,"Carcinoma in situ, unspecified"
D10,입 및 인두의 양성 신생물,Benign neoplasm of mouth and pharynx
D100,입술의 양성 신생물,Benign neoplasm of lip
D101,혀의 양성 신생물,Benign neoplasm of tongue
D102,입바닥의 양성 신생물,Benign neoplasm of floor of mouth
D103,기타 및 상세불명 입 부분의 양성 신생물,Benign neoplasm of other and unspecified parts of mouth
D104,편도의 양성 신생물,Benign neoplasm of tonsil
D105,입인두의 기타 부분의 양성 신생물,Benign neoplasm of other parts of oropharynx
D106,비인두의 양성 신생물,Benign neoplasm of nasopharynx
D107,하인두의 양성 신생물,Benign neoplasm of hypopharynx
D109,상세불명의 인두의 양성 신생물,"Benign neoplasm of pharynx, unspecified"
D11,주침샘의 양성 신생물,Benign neoplasm of major salivary glands
D110,귀밑샘의 양성 신생물,Benign neoplasm of parotid gland
D117,기타 주침샘의 양성 신생물,Benign neoplasm of other major salivary glands
D119,상세불명의 주침샘의 양성 신생물,"Benign neoplasm of major salivary gland, unspecified"
D12,"결장, 직장, 항문 및 항문관의 양성 신생물","Benign neoplasm of colon, rectum, anus and anal canal"
D120,맹장의 양성 신생물,Benign neoplasm of caecum
D121,충수의 양성 신생물,Benign neoplasm of appendix
D122,상행결장의 양성 신생물,Benign neoplasm of ascending colon
D123,횡행결장의 양성 신생물,Benign neoplasm of transverse colon
D124,하행결장의 양성 신생물,Benign neoplasm of descending colon
D125,구불결장의 양성 신생물,Benign neoplasm of sigmoid colon
D126,상세불명의 결장의 양성 신생물,"Benign neoplasm of colon, unspecified"
D127,직장구불결장접합부의 양성 신생물,Benign neoplasm of rectosigmoid junction
D128,직장의 양성 신생물,Benign neoplasm of rectum
D129,항문 및 항문관의 양성 신생물,Benign neoplasm of anus and anal canal
D13,기타 및 부위불명의 소화계통의 양성 신생물,Benign neoplasm of other and ill-defined parts of digestive system
D130,식도의 양성 신생물,Benign neoplasm of oesophagus
D131,위의 양성 신생물,Benign neoplasm of stomach
D132,십이지장의 양성 신생물,Benign neoplasm of duodenum
D133,기타 및 상세불명 부분 소장의 양성 신생물,Benign neoplasm of other and unspecified parts of small intestine
D134,간의 양성 신생물,Benign neoplasm of liver
D135,간외담관의 양성 신생물,Benign neoplasm of extrahepatic bile ducts
D136,췌장의 양성 신생물,Benign neoplasm of pancreas
D137,내분비췌장의 양성 신생물,Benign neoplasm of endocrine pancreas
D139,부위불명의 소화계통의 양성 신생물,Benign neoplasm of ill-defined sites within the digestive system
D14,중이 및 호흡계통의 양성 신생물,Benign neoplasm of middle ear and respiratory system
D140,"중이, 비강 및 부비동의 양성 신생물","Benign neoplasm of middle ear, nasal cavity and accessory sinuses"
D141,후두의 양성 신생물,Benign neoplasm of larynx
D142,기관의 양성 신생물,Benign neoplasm of trachea
D143,기관지 및 폐의 양성 신생물,Benign neoplasm of bronchus and lung
D144,상세불명의 호흡계통의 양성 신생물,"Benign neoplasm of respiratory system, unspecified"
D15,기타 및 상세불명의 흉곽내기관의 양성 신생물,Benign neoplasm of other and unspecified intrathoracic organs
D150,흉선의 양성 신생물,Benign neoplasm of thymus
D151,심장의 양성 신생물,Benign neoplasm of heart
D152,종격의 양성 신생물,Benign neoplasm of mediastinum
D157,기타 명시된 흉곽내기관의 양성 신생물,Benign neoplasm of other specified intrathoracic organs
D159,상세불명의 흉곽내기관의 양성 신생물,"Benign neoplasm of intrathoracic organ, unspecified"
D16,골 및 관절연골의 양성 신생물,Benign neoplasm of bone and articular cartilage
D160,견갑골 및 팔의 긴뼈의 양성 신생물,Benign neoplasm of scapula and long bones of upper limb
D161,팔의 짧은뼈의 양성 신생물,Benign neoplasm of short bones of upper limb
D162,다리의 긴뼈의 양성 신생물,Benign neoplasm of long bones of lower limb
D163,다리의 짧은뼈의 양성 신생물,Benign neoplasm of short bones of lower limb
D164,두개골 및 안면골의 양성 신생물,Benign neoplasm of bones of skull and face
D165,아래턱뼈의 양성 신생물,Benign neoplasm of lower jaw bone
D166,척주의 양성 신생물,Benign neoplasm of vertebral column
D167,"늑골, 흉골 및 쇄골의 양성 신생물","Benign neoplasm of ribs, sternum and clavicle"
D168,"골반골, 천골(薦骨) 및 미추의 양성 신생물","Benign neoplasm of pelvic bones, sacrum and coccyx"
D169,상세불명의 뼈 및 관절연골의 양성 신생물,"Benign neoplasm of bone and articular cartilage, unspecified"
D17,양성 지방종성 신생물,Benign lipomatous neoplasm
D170,"머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
D171,몸통의 피부 및 피하조직의 양성 지방종성 신생물,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
D172,사지의 피부 및 피하조직의 양성 지방종성 신생물,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
D173,기타 및 상세불명 부위의 피부 및 피하조직의 양성 지방종성 신생물,Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites
D174,흉곽내기관의 양성 지방종성 신생물,Benign lipomatous neoplasm of intrathoracic organs
D175,복강내기관의 양성 지방종성 신생물,Benign lipomatous neoplasm of intra-abdominal organs
D176,정삭의 양성 지방종성 신생물,Benign lipomatous neoplasm of spermatic cord
D177,기타 부위의 양성 지방종성 신생물,Benign lipomatous neoplasm of other sites
D179,상세불명의 양성 지방종성 신생물,"Benign lipomatous neoplasm, unspecified"
D18,모든 부위의 혈관종 및 림프관종,"Haemangioma and lymphangioma, any site"
D180,"혈관종, 모든 부위","Haemangioma, any site"
D181,"림프관종, 모든 부위","Lymphangioma, any site"
D19,중피조직의 양성 신생물,Benign neoplasm of mesothelial tissue
D190,흉막의 중피조직의 양성 신생물,Benign neoplasm of mesothelial tissue of pleura
D191,복막의 중피조직의 양성 신생물,Benign neoplasm of mesothelial tissue of peritoneum
D197,기타 부위의 중피조직의 양성 신생물,Benign neoplasm of mesothelial tissue of other sites
D199,상세불명의 중피조직의 양성 신생물,"Benign neoplasm of mesothelial tissue, unspecified"
D20,후복막 및 복막 연조직의 양성 신생물,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
D200,후복막의 양성 신생물,Benign neoplasm of retroperitoneum
D201,복막의 양성 신생물,Benign neoplasm of peritoneum
D21,결합조직 및 기타 연조직의 기타 양성 신생물,Other benign neoplasms of connective and other soft tissue
D210,"머리, 얼굴 및 목의 결합조직 및 기타 연조직의 양성 신생물","Other benign neoplasms of connective and other soft tissue of head, face and neck"
D211,어깨를 포함한 팔의 결합조직 및 기타 연조직의 양성 신생물,"Other benign neoplasms of connective and other soft tissue of upper limb, including shoulder"
D212,엉덩이를 포함한 다리의 결합조직 및 기타 연조직의 양성 신생물,"Other benign neoplasms of connective and other soft tissue of lower limb, including hip"
D213,흉부의 결합조직 및 기타 연조직의 양성 신생물,Other benign neoplasms of connective and other soft tissue of thorax
D214,복부의 결합조직 및 기타 연조직의 기타 양성 신생물,Other benign neoplasms of connective and other soft tissue of abdomen
D215,골반의 결합조직 및 기타 연조직의 기타 양성 신생물,Other benign neoplasms of connective and other soft tissue of pelvis
D216,상세불명의 몸통의 결합조직 및 기타 연조직의 기타 양성 신생물,"Other benign neoplasms of connective and other soft tissue of trunk, unspecified"
D219,상세불명의 결합조직 및 기타 연조직의 기타 양성 신생물,"Other benign neoplasms of connective and other soft tissue, unspecified"
D22,멜라닌세포모반,Melanocytic naevi
D220,입술의 멜라닌세포모반,Melanocytic naevi of lip
D221,안각을 포함한 눈꺼풀의 멜라닌세포모반,"Melanocytic naevi of eyelid, including canthus"
D222,귀 및 외이도의 멜라닌세포모반,Melanocytic naevi of ear and external auricular canal
D223,얼굴의 기타 및 상세불명 부분의 멜라닌세포모반,Melanocytic naevi of other and unspecified parts of face
D224,두피 및 목의 멜라닌세포모반,Melanocytic naevi of scalp and neck
D225,몸통의 멜라닌세포모반,Melanocytic naevi of trunk
D226,어깨를 포함한 팔의 멜라닌세포모반,"Melanocytic naevi of upper limb, including shoulder"
D227,엉덩이를 포함한 다리의 멜라닌세포모반,"Melanocytic naevi of lower limb, including hip"
D229,상세불명의 멜라닌세포모반,"Melanocytic naevi, unspecified"
D23,피부의 기타 양성 신생물,Other benign neoplasms of skin
D230,입술의 피부의 양성 신생물,Other benign neoplasms of skin of lip
D231,안각을 포함한 눈꺼풀의 피부의 양성 신생물,"Other benign neoplasms of skin of eyelid, including canthus"
D232,귀 및 외이도의 피부의 양성 신생물,Other benign neoplasms of skin of ear and external auricular canal
D233,얼굴의 기타 및 상세불명 부분의 피부의 양성 신생물,Other benign neoplasms of skin of other and unspecified parts of face
D234,두피 및 목의 피부의 양성 신생물,Other benign neoplasms of skin of scalp and neck
D235,몸통의 피부의 양성 신생물,Other benign neoplasms of skin of trunk
D236,어깨를 포함한 팔의 피부의 양성 신생물,"Other benign neoplasms of skin of upper limb, including shoulder"
D237,엉덩이를 포함한 다리의 피부의 양성 신생물,"Other benign neoplasms of skin of lower limb, including hip"
D239,상세불명의 피부의 양성 신생물,"Other benign neoplasms of skin, unspecified"
D24,유방의 양성 신생물,Benign neoplasm of breast
D240,여성유방의 양성 신생물,Benign neoplasm of female breast
D241,남성유방의 양성 신생물,Benign neoplasm of male breast
D242,유방의 단발 양성 신생물,Single benign neoplasm of breast
D243,유방의 다발 양성 신생물,Multiple benign neoplasm of breast
D249,상세불명 유방의 양성 신생물,"Benign neoplasm of breast, unspecified"
D25,자궁의 평활근종,Leiomyoma of uterus
D250,자궁의 점막하 평활근종,Submucous leiomyoma of uterus
D251,자궁의 벽내 평활근종,Intramural leiomyoma of uterus
D252,자궁의 장막하 평활근종,Subserosal leiomyoma of uterus
D259,상세불명의 자궁의 평활근종,"Leiomyoma of uterus, unspecified"
D26,자궁의 기타 양성 신생물,Other benign neoplasms of uterus
D260,자궁경부의 기타 양성 신생물,Other benign neoplasms of cervix uteri
D261,자궁체부의 기타 양성 신생물,Other benign neoplasms of corpus uteri
D267,자궁의 기타 부분의 기타 양성 신생물,Other benign neoplasms of other parts of uterus
D269,상세불명의 자궁의 기타 양성 신생물,"Other benign neoplasms of uterus, unspecified"
D27,난소의 양성 신생물,Benign neoplasm of ovary
D270,"난소의 양성 신생물, 오른쪽","Benign neoplasm of ovary, right"
D271,"난소의 양성 신생물, 왼쪽","Benign neoplasm of ovary, left"
D279,"난소의 양성 신생물, 상세불명 쪽","Benign neoplasm of ovary, unspecified side"
D28,기타 및 상세불명의 여성생식기관의 양성 신생물,Benign neoplasm of other and unspecified female genital organs
D280,외음의 양성 신생물,Benign neoplasms of vulva
D281,질의 양성 신생물,Benign neoplasms of vagina
D282,난관 및 인대의 양성 신생물,Benign neoplasms of uterine tubes and ligaments
D287,기타 명시된 여성생식기관의 양성 신생물,Benign neoplasms of other specified female genital organs
D289,상세불명의 여성생식기관의 양성 신생물,"Benign neoplasms of female genital organ, unspecified"
D29,남성생식기관의 양성 신생물,Benign neoplasm of male genital organs
D290,음경의 양성 신생물,Benign neoplasms of penis
D291,전립선의 양성 신생물,Benign neoplasms of prostate
D292,고환의 양성 신생물,Benign neoplasms of testis
D293,부고환의 양성 신생물,Benign neoplasms of epididymis
D294,음낭의 양성 신생물,Benign neoplasms of scrotum
D297,기타 남성생식기관의 양성 신생물,Benign neoplasms of other male genital organ
D299,상세불명의 남성생식기관의 양성 신생물,"Benign neoplasms of male genital organ, unspecified"
D30,비뇨기관의 양성 신생물,Benign neoplasm of urinary organs
D300,신장의 양성 신생물,Benign neoplasm of kidney
D301,신우의 양성 신생물,Benign neoplasm of renal pelvis
D302,요관의 양성 신생물,Benign neoplasm of ureter
D303,방광의 양성 신생물,Benign neoplasm of bladder
D304,요도의 양성 신생물,Benign neoplasm of urethra
D307,기타 비뇨기관의 양성 신생물,Benign neoplasm of other urinary organs
D309,상세불명의 비뇨기관의 양성 신생물,"Benign neoplasm of urinary organ, unspecified"
D31,눈 및 부속기의 양성 신생물,Benign neoplasm of eye and adnexa
D310,결막의 양성 신생물,Benign neoplasm of conjunctiva
D311,각막의 양성 신생물,Benign neoplasm of cornea
D312,망막의 양성 신생물,Benign neoplasm of retina
D313,맥락막의 양성 신생물,Benign neoplasm of choroid
D314,섬모체의 양성 신생물,Benign neoplasm of ciliary body
D315,눈물샘 및 눈물관의 양성 신생물,Benign neoplasm of lacrimal gland and duct
D316,상세불명의 안와의 양성 신생물,"Benign neoplasm of orbit, unspecified"
D319,상세불명의 눈의 양성 신생물,"Benign neoplasms of eye, unspecified"
D32,수막의 양성 신생물,Benign neoplasm of meninges
D320,뇌막의 양성 신생물,Benign neoplasm of cerebral meninges
D321,척수막의 양성 신생물,Benign neoplasm of spinal meninges
D329,상세불명의 수막의 양성 신생물,"Benign neoplasm of meninges, unspecified"
D33,뇌 및 중추신경계통의 기타 부분의 양성 신생물,Benign neoplasm of brain and other parts of central nervous system
D330,천막상 뇌의 양성 신생물,"Benign neoplasm of brain, supratentorial"
D331,천막하 뇌의 양성 신생물,"Benign neoplasm of brain, infratentorial"
D332,상세불명의 뇌의 양성 신생물,"Benign neoplasm of brain, unspecified"
D333,뇌신경의 양성 신생물,Benign neoplasm of cranial nerves
D334,척수의 양성 신생물,Benign neoplasm of spinal cord
D337,기타 명시된 부분의 중추신경계통의 양성 신생물,Benign neoplasm of other specified parts of central nervous system
D339,상세불명의 중추신경계통의 양성 신생물,"Benign neoplasm of central nervous system, unspecified"
D34,갑상선의 양성 신생물,Benign neoplasm of thyroid gland
D35,기타 및 상세불명의 내분비선의 양성 신생물,Benign neoplasm of other and unspecified endocrine glands
D350,부신의 양성 신생물,Benign neoplasm of adrenal gland
D351,부갑상선의 양성 신생물,Benign neoplasm of parathyroid gland
D352,뇌하수체의 양성 신생물,Benign neoplasm of pituitary gland
D353,두개인두관의 양성 신생물,Benign neoplasm of craniopharyngeal duct
D354,송과선의 양성 신생물,Benign neoplasm of pineal gland
D355,경동맥소체의 양성 신생물,Benign neoplasm of carotid body
D356,대동맥소체 및 기타 부신경절의 양성 신생물,Benign neoplasm of aortic body and other paraganglia
D357,기타 명시된 내분비선의 양성 신생물,Benign neoplasm of other specified endocrine glands
D358,다선성 침범의 양성 신생물,Benign neoplasm of pluriglandular involvement
D359,상세불명의 내분비선의 양성 신생물,"Benign neoplasm of endocrine gland, unspecified"
D36,기타 및 상세불명 부위의 양성 신생물,Benign neoplasm of other and unspecified sites
D360,림프절의 양성 신생물,Benign neoplasm of lymph nodes
D361,말초신경 및 자율신경계통의 양성 신생물,Benign neoplasm of peripheral nerves and autonomic nervous system
D367,기타 명시된 부위의 양성 신생물,Benign neoplasm of other specified sites
D369,상세불명 부위의 양성 신생물,Benign neoplasm of unspecified site
D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
D370,"입술, 구강 및 인두의 행동양식 불명 또는 미상의 신생물","Neoplasm of uncertain or unknown behaviour of lip, oral cavity and pharynx"
D371,위의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of stomach
D372,소장의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of small intestine
D373,충수의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of appendix
D374,결장의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of colon
D375,직장의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of rectum
D376,"간, 담낭 및 담관의 행동양식 불명 또는 미상의 신생물","Neoplasm of uncertain or unknown behaviour of liver, gallbladder and bile ducts"
D377,기타 소화기관의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of other digestive organs
D379,상세불명의 소화기관의 행동양식 불명 또는 미상의 신생물,"Neoplasm of uncertain or unknown behaviour of digestive organ, unspecified"
D38,"중이, 호흡기관, 흉곽내기관의 행동양식 불명 또는 미상의 신생물",Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
D380,후두의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of larynx
D381,"기관, 기관지 및 폐의 행동양식 불명 또는 미상의 신생물","Neoplasm of uncertain or unknown behaviour of trachea, bronchus and lung"
D382,흉막의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of pleura
D383,종격의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of mediastinum
D384,흉선의 행동양식 불명 또는 미상의 신생물,Neoplasm of uncertain or unknown behaviour of thymus
